bidding_exercise,date,year,category,quota,price,total_bids,success_bids
July 2011 Second Open Bidding Exercise,2011-07-20,2011,Cat B (Cars above 1600cc or 97kW),436,72501,626,436
July 2011 First Open Bidding Exercise,2011-07-06,2011,Cat B (Cars above 1600cc or 97kW),445,68501,728,444
June 2011 Second Open Bidding Exercise,2011-06-22,2011,Cat B (Cars above 1600cc or 97kW),423,67700,684,410
June 2011 First Open Bidding Exercise,2011-06-08,2011,Cat B (Cars above 1600cc or 97kW),424,63000,759,403
May 2011 Second Open Bidding Exercise,2011-05-19,2011,Cat B (Cars above 1600cc or 97kW),424,56300,564,424
May 2011 First Open Bidding Exercise,2011-05-05,2011,Cat B (Cars above 1600cc or 97kW),439,56011,650,439
April 2011 Second Open Bidding Exercise,2011-04-20,2011,Cat B (Cars above 1600cc or 97kW),423,56801,627,422
April 2011 First Open Bidding Exercise,2011-04-06,2011,Cat B (Cars above 1600cc or 97kW),425,55001,542,410
March 2011 Second Open Bidding Exercise,2011-03-23,2011,Cat B (Cars above 1600cc or 97kW),424,57002,579,424
March 2011 First Open Bidding Exercise,2011-03-09,2011,Cat B (Cars above 1600cc or 97kW),424,61894,667,423
February 2011 Second Open Bidding Exercise,2011-02-23,2011,Cat B (Cars above 1600cc or 97kW),424,62000,726,423
February 2011 First Open Bidding Exercise,2011-02-09,2011,Cat B (Cars above 1600cc or 97kW),431,53400,640,431
January 2011 Second Open Bidding Exercise,2011-01-19,2011,Cat B (Cars above 1600cc or 97kW),483,58910,700,482
January 2011 First Open Bidding Exercise,2011-01-05,2011,Cat B (Cars above 1600cc or 97kW),481,69000,790,474
December 2010 Second Open Bidding Exercise,2010-12-22,2010,Cat B (Cars above 1600cc or 97kW),499,72001,872,494
December 2010 First Open Bidding Exercise,2010-12-08,2010,Cat B (Cars above 1600cc or 97kW),479,62502,1034,477
November 2010 Second Open Bidding Exercise,2010-11-18,2010,Cat B (Cars above 1600cc or 97kW),480,47890,709,459
November 2010 First Open Bidding Exercise,2010-11-03,2010,Cat B (Cars above 1600cc or 97kW),482,45501,718,482
October 2010 Second Open Bidding Exercise,2010-10-20,2010,Cat B (Cars above 1600cc or 97kW),479,44600,766,478
October 2010 First Open Bidding Exercise,2010-10-06,2010,Cat B (Cars above 1600cc or 97kW),479,42801,630,476
September 2010 Second Open Bidding Exercise,2010-09-22,2010,Cat B (Cars above 1600cc or 97kW),488,42501,648,488
September 2010 First Open Bidding Exercise,2010-09-08,2010,Cat B (Cars above 1600cc or 97kW),479,44129,757,479
August 2010 Second Open Bidding Exercise,2010-08-18,2010,Cat B (Cars above 1600cc or 97kW),482,42810,683,472
August 2010 First Open Bidding Exercise,2010-08-04,2010,Cat B (Cars above 1600cc or 97kW),479,43334,662,479
July 2010 Second Open Bidding Exercise,2010-07-21,2010,Cat B (Cars above 1600cc or 97kW),552,42889,890,548
July 2010 First Open Bidding Exercise,2010-07-07,2010,Cat B (Cars above 1600cc or 97kW),557,35909,671,557
June 2010 Second Open Bidding Exercise,2010-06-23,2010,Cat B (Cars above 1600cc or 97kW),557,39911,720,554
June 2010 First Open Bidding Exercise,2010-06-09,2010,Cat B (Cars above 1600cc or 97kW),553,40002,779,546
May 2010 Second Open Bidding Exercise,2010-05-19,2010,Cat B (Cars above 1600cc or 97kW),561,34600,715,553
May 2010 First Open Bidding Exercise,2010-05-05,2010,Cat B (Cars above 1600cc or 97kW),550,38000,869,547
April 2010 Second Open Bidding Exercise,2010-04-21,2010,Cat B (Cars above 1600cc or 97kW),561,40001,896,549
April 2010 First Open Bidding Exercise,2010-04-07,2010,Cat B (Cars above 1600cc or 97kW),571,45501,858,571
March 2010 Second Open Bidding Exercise,2010-03-24,2010,Cat B (Cars above 1600cc or 97kW),711,36089,1207,699
March 2010 First Open Bidding Exercise,2010-03-10,2010,Cat B (Cars above 1600cc or 97kW),688,26389,1087,667
February 2010 Second Open Bidding Exercise,2010-02-24,2010,Cat B (Cars above 1600cc or 97kW),685,23889,956,658
February 2010 First Open Bidding Exercise,2010-02-03,2010,Cat B (Cars above 1600cc or 97kW),693,23180,930,690
January 2010 Second Open Bidding Exercise,2010-01-20,2010,Cat B (Cars above 1600cc or 97kW),717,22400,1105,717
January 2010 First Open Bidding Exercise,2010-01-06,2010,Cat B (Cars above 1600cc or 97kW),687,19190,883,679
December 2009 Second Open Bidding Exercise,2009-12-23,2009,Cat B (Cars above 1600cc or 97kW),697,17889,816,665
December 2009 First Open Bidding Exercise,2009-12-09,2009,Cat B (Cars above 1600cc or 97kW),692,19003,857,690
November 2009 Second Open Bidding Exercise,2009-11-18,2009,Cat B (Cars above 1600cc or 97kW),687,18002,797,675
November 2009 First Open Bidding Exercise,2009-11-04,2009,Cat B (Cars above 1600cc or 97kW),704,18389,779,697
October 2009 Second Open Bidding Exercise,2009-10-21,2009,Cat B (Cars above 1600cc or 97kW),688,19510,832,686
October 2009 First Open Bidding Exercise,2009-10-07,2009,Cat B (Cars above 1600cc or 97kW),685,18109,816,666
September 2009 Second Open Bidding Exercise,2009-09-24,2009,Cat B (Cars above 1600cc or 97kW),761,19801,914,758
September 2009 First Open Bidding Exercise,2009-09-09,2009,Cat B (Cars above 1600cc or 97kW),767,19289,1003,767
August 2009 Second Open Bidding Exercise,2009-08-19,2009,Cat B (Cars above 1600cc or 97kW),785,16290,889,784
August 2009 First Open Bidding Exercise,2009-08-05,2009,Cat B (Cars above 1600cc or 97kW),762,18890,934,755
July 2009 Second Open Bidding Exercise,2009-07-22,2009,Cat B (Cars above 1600cc or 97kW),762,18501,992,737
July 2009 First Open Bidding Exercise,2009-07-08,2009,Cat B (Cars above 1600cc or 97kW),780,16801,1052,778
June 2009 Second Open Bidding Exercise,2009-06-17,2009,Cat B (Cars above 1600cc or 97kW),760,14840,1066,758
June 2009 First Open Bidding Exercise,2009-06-03,2009,Cat B (Cars above 1600cc or 97kW),760,11889,1131,740
May 2009 Second Open Bidding Exercise,2009-05-20,2009,Cat B (Cars above 1600cc or 97kW),774,9180,1051,774
May 2009 First Open Bidding Exercise,2009-05-06,2009,Cat B (Cars above 1600cc or 97kW),814,7552,1021,814
April 2009 Second Open Bidding Exercise,2009-04-22,2009,Cat B (Cars above 1600cc or 97kW),769,7490,1001,755
April 2009 First Open Bidding Exercise,2009-04-08,2009,Cat B (Cars above 1600cc or 97kW),761,7501,1036,707
March 2009 Second Open Bidding Exercise,2009-03-18,2009,Cat B (Cars above 1600cc or 97kW),1110,5001,1359,1101
March 2009 First Open Bidding Exercise,2009-03-04,2009,Cat B (Cars above 1600cc or 97kW),1101,5101,1346,1100
February 2009 Second Open Bidding Exercise,2009-02-18,2009,Cat B (Cars above 1600cc or 97kW),1101,4889,1675,1090
February 2009 First Open Bidding Exercise,2009-02-04,2009,Cat B (Cars above 1600cc or 97kW),1099,689,1231,1097
January 2009 Second Open Bidding Exercise,2009-01-21,2009,Cat B (Cars above 1600cc or 97kW),1099,200,1179,1097
January 2009 First Open Bidding Exercise,2009-01-07,2009,Cat B (Cars above 1600cc or 97kW),1100,3089,1332,1100
December 2008 Second Open Bidding Exercise,2008-12-17,2008,Cat B (Cars above 1600cc or 97kW),1102,2656,1318,1102
December 2008 First Open Bidding Exercise,2008-12-03,2008,Cat B (Cars above 1600cc or 97kW),1100,6501,1411,1099
November 2008 Second Open Bidding Exercise,2008-11-19,2008,Cat B (Cars above 1600cc or 97kW),1100,4889,1181,1097
November 2008 First Open Bidding Exercise,2008-11-05,2008,Cat B (Cars above 1600cc or 97kW),1099,8301,1216,1098
October 2008 Second Open Bidding Exercise,2008-10-22,2008,Cat B (Cars above 1600cc or 97kW),1100,7589,1302,1099
October 2008 First Open Bidding Exercise,2008-10-08,2008,Cat B (Cars above 1600cc or 97kW),1132,14400,1338,1132
September 2008 Second Open Bidding Exercise,2008-09-17,2008,Cat B (Cars above 1600cc or 97kW),1127,13301,1288,1126
September 2008 First Open Bidding Exercise,2008-09-03,2008,Cat B (Cars above 1600cc or 97kW),1099,13389,1195,1066
August 2008 Second Open Bidding Exercise,2008-08-20,2008,Cat B (Cars above 1600cc or 97kW),1099,13890,1362,1071
August 2008 First Open Bidding Exercise,2008-08-06,2008,Cat B (Cars above 1600cc or 97kW),1104,12889,1253,1104
July 2008 Second Open Bidding Exercise,2008-07-23,2008,Cat B (Cars above 1600cc or 97kW),1099,14235,1307,1099
July 2008 First Open Bidding Exercise,2008-07-09,2008,Cat B (Cars above 1600cc or 97kW),1099,15501,1383,1094
June 2008 Second Open Bidding Exercise,2008-06-18,2008,Cat B (Cars above 1600cc or 97kW),1099,14689,1280,1099
June 2008 First Open Bidding Exercise,2008-06-04,2008,Cat B (Cars above 1600cc or 97kW),1125,14640,1282,1125
May 2008 Second Open Bidding Exercise,2008-05-22,2008,Cat B (Cars above 1600cc or 97kW),1100,17113,1396,1100
May 2008 First Open Bidding Exercise,2008-05-07,2008,Cat B (Cars above 1600cc or 97kW),1101,15889,1230,1075
April 2008 Second Open Bidding Exercise,2008-04-23,2008,Cat B (Cars above 1600cc or 97kW),1119,17510,1324,1118
April 2008 First Open Bidding Exercise,2008-04-09,2008,Cat B (Cars above 1600cc or 97kW),1132,19501,1382,1130
March 2008 Second Open Bidding Exercise,2008-03-19,2008,Cat B (Cars above 1600cc or 97kW),1130,19001,1387,1110
March 2008 First Open Bidding Exercise,2008-03-05,2008,Cat B (Cars above 1600cc or 97kW),1125,18000,1499,1092
February 2008 Second Open Bidding Exercise,2008-02-20,2008,Cat B (Cars above 1600cc or 97kW),1125,15510,1632,1120
February 2008 First Open Bidding Exercise,2008-02-05,2008,Cat B (Cars above 1600cc or 97kW),1133,13209,1454,1133
January 2008 Second Open Bidding Exercise,2008-01-23,2008,Cat B (Cars above 1600cc or 97kW),1144,13289,1328,1144
January 2008 First Open Bidding Exercise,2008-01-09,2008,Cat B (Cars above 1600cc or 97kW),1172,15989,1556,1164
January 2007 First Open Bidding Exercise,2007-01-01,2007,Cat B (Cars above 1600cc or 97kW),1271,13001,1460,1268
January 2007 Second Open Bidding Exercise,2007-01-15,2007,Cat B (Cars above 1600cc or 97kW),1301,12000,1446,1298
February 2007 First Open Bidding Exercise,2007-02-01,2007,Cat B (Cars above 1600cc or 97kW),1272,12152,1449,1267
February 2007 Second Open Bidding Exercise,2007-02-15,2007,Cat B (Cars above 1600cc or 97kW),1272,6002,1382,1269
March 2007 First Open Bidding Exercise,2007-03-01,2007,Cat B (Cars above 1600cc or 97kW),1274,13502,2248,1250
March 2007 Second Open Bidding Exercise,2007-03-15,2007,Cat B (Cars above 1600cc or 97kW),1272,14652,1840,1266
April 2007 First Open Bidding Exercise,2007-04-01,2007,Cat B (Cars above 1600cc or 97kW),1149,14889,1720,1149
April 2007 Second Open Bidding Exercise,2007-04-15,2007,Cat B (Cars above 1600cc or 97kW),1130,15989,1587,1127
May 2007 First Open Bidding Exercise,2007-05-01,2007,Cat B (Cars above 1600cc or 97kW),1125,17879,1811,1118
May 2007 Second Open Bidding Exercise,2007-05-15,2007,Cat B (Cars above 1600cc or 97kW),1127,18900,1679,1105
June 2007 First Open Bidding Exercise,2007-06-01,2007,Cat B (Cars above 1600cc or 97kW),1132,19802,1679,1114
June 2007 Second Open Bidding Exercise,2007-06-15,2007,Cat B (Cars above 1600cc or 97kW),1146,18891,1460,1137
July 2007 First Open Bidding Exercise,2007-07-01,2007,Cat B (Cars above 1600cc or 97kW),1143,17399,1364,1143
July 2007 Second Open Bidding Exercise,2007-07-15,2007,Cat B (Cars above 1600cc or 97kW),1133,17602,1393,1133
August 2007 First Open Bidding Exercise,2007-08-01,2007,Cat B (Cars above 1600cc or 97kW),1125,18001,1458,1114
August 2007 Second Open Bidding Exercise,2007-08-15,2007,Cat B (Cars above 1600cc or 97kW),1124,16010,1288,1124
September 2007 First Open Bidding Exercise,2007-09-01,2007,Cat B (Cars above 1600cc or 97kW),1136,18200,1594,1136
September 2007 Second Open Bidding Exercise,2007-09-15,2007,Cat B (Cars above 1600cc or 97kW),1125,19589,1581,1117
October 2007 First Open Bidding Exercise,2007-10-01,2007,Cat B (Cars above 1600cc or 97kW),1125,17102,1409,1125
October 2007 Second Open Bidding Exercise,2007-10-15,2007,Cat B (Cars above 1600cc or 97kW),1133,17589,1370,1132
November 2007 First Open Bidding Exercise,2007-11-01,2007,Cat B (Cars above 1600cc or 97kW),1125,18001,1438,1087
November 2007 Second Open Bidding Exercise,2007-11-15,2007,Cat B (Cars above 1600cc or 97kW),1126,16401,1339,1126
December 2007 First Open Bidding Exercise,2007-12-01,2007,Cat B (Cars above 1600cc or 97kW),1163,13114,1334,1116
December 2007 Second Open Bidding Exercise,2007-12-15,2007,Cat B (Cars above 1600cc or 97kW),1125,15802,1578,1106
January 2006 First Open Bidding Exercise,2006-01-01,2006,Cat B (Cars above 1600cc or 97kW),1277,11602,1876,1277
January 2006 Second Open Bidding Exercise,2006-01-15,2006,Cat B (Cars above 1600cc or 97kW),1275,9603,1483,1266
February 2006 First Open Bidding Exercise,2006-02-01,2006,Cat B (Cars above 1600cc or 97kW),1265,9501,1726,1262
February 2006 Second Open Bidding Exercise,2006-02-15,2006,Cat B (Cars above 1600cc or 97kW),1274,10489,1866,1271
March 2006 First Open Bidding Exercise,2006-03-01,2006,Cat B (Cars above 1600cc or 97kW),1268,12555,1926,1268
March 2006 Second Open Bidding Exercise,2006-03-15,2006,Cat B (Cars above 1600cc or 97kW),1267,13556,1830,1265
April 2006 First Open Bidding Exercise,2006-04-01,2006,Cat B (Cars above 1600cc or 97kW),1084,13402,1420,1079
April 2006 Second Open Bidding Exercise,2006-04-15,2006,Cat B (Cars above 1600cc or 97kW),1086,13101,1299,1079
May 2006 First Open Bidding Exercise,2006-05-01,2006,Cat B (Cars above 1600cc or 97kW),1089,11519,1293,1077
May 2006 Second Open Bidding Exercise,2006-05-15,2006,Cat B (Cars above 1600cc or 97kW),1091,11801,1337,1087
June 2006 First Open Bidding Exercise,2006-06-01,2006,Cat B (Cars above 1600cc or 97kW),1096,12200,1426,1096
June 2006 Second Open Bidding Exercise,2006-06-15,2006,Cat B (Cars above 1600cc or 97kW),1088,11001,1256,1084
July 2006 First Open Bidding Exercise,2006-07-01,2006,Cat B (Cars above 1600cc or 97kW),1084,10801,1240,1084
July 2006 Second Open Bidding Exercise,2006-07-15,2006,Cat B (Cars above 1600cc or 97kW),1089,10600,1332,1089
August 2006 First Open Bidding Exercise,2006-08-01,2006,Cat B (Cars above 1600cc or 97kW),1084,12501,1365,1064
August 2006 Second Open Bidding Exercise,2006-08-15,2006,Cat B (Cars above 1600cc or 97kW),1085,13890,1406,1084
September 2006 First Open Bidding Exercise,2006-09-01,2006,Cat B (Cars above 1600cc or 97kW),1104,14701,1448,1101
September 2006 Second Open Bidding Exercise,2006-09-15,2006,Cat B (Cars above 1600cc or 97kW),1086,14399,1440,1086
October 2006 First Open Bidding Exercise,2006-10-01,2006,Cat B (Cars above 1600cc or 97kW),1272,12501,1496,1253
October 2006 Second Open Bidding Exercise,2006-10-15,2006,Cat B (Cars above 1600cc or 97kW),1269,12989,1530,1269
November 2006 First Open Bidding Exercise,2006-11-01,2006,Cat B (Cars above 1600cc or 97kW),1288,13811,1683,1288
November 2006 Second Open Bidding Exercise,2006-11-15,2006,Cat B (Cars above 1600cc or 97kW),1269,14509,1696,1266
December 2006 First Open Bidding Exercise,2006-12-01,2006,Cat B (Cars above 1600cc or 97kW),1269,14389,1521,1267
December 2006 Second Open Bidding Exercise,2006-12-15,2006,Cat B (Cars above 1600cc or 97kW),1272,12889,1413,1240
January 2005 First Open Bidding Exercise,2005-01-01,2005,Cat B (Cars above 1600cc or 97kW),1139,14002,1311,1139
January 2005 Second Open Bidding Exercise,2005-01-15,2005,Cat B (Cars above 1600cc or 97kW),1148,19502,1834,1145
February 2005 First Open Bidding Exercise,2005-02-01,2005,Cat B (Cars above 1600cc or 97kW),1137,16533,1450,1137
February 2005 Second Open Bidding Exercise,2005-02-15,2005,Cat B (Cars above 1600cc or 97kW),1140,16891,1443,1137
March 2005 First Open Bidding Exercise,2005-03-01,2005,Cat B (Cars above 1600cc or 97kW),1137,21710,1656,1134
March 2005 Second Open Bidding Exercise,2005-03-15,2005,Cat B (Cars above 1600cc or 97kW),1140,18001,1355,1133
April 2005 First Open Bidding Exercise,2005-04-01,2005,Cat B (Cars above 1600cc or 97kW),1103,16110,1367,1103
April 2005 Second Open Bidding Exercise,2005-04-15,2005,Cat B (Cars above 1600cc or 97kW),1107,17701,1357,1107
May 2005 First Open Bidding Exercise,2005-05-01,2005,Cat B (Cars above 1600cc or 97kW),1100,16508,1339,1087
May 2005 Second Open Bidding Exercise,2005-05-15,2005,Cat B (Cars above 1600cc or 97kW),1100,16108,1322,1087
June 2005 First Open Bidding Exercise,2005-06-01,2005,Cat B (Cars above 1600cc or 97kW),1113,16002,1346,1099
June 2005 Second Open Bidding Exercise,2005-06-15,2005,Cat B (Cars above 1600cc or 97kW),1113,15001,1299,1099
July 2005 First Open Bidding Exercise,2005-07-01,2005,Cat B (Cars above 1600cc or 97kW),1114,15501,1374,1102
July 2005 Second Open Bidding Exercise,2005-07-15,2005,Cat B (Cars above 1600cc or 97kW),1114,16501,1414,1113
August 2005 First Open Bidding Exercise,2005-08-01,2005,Cat B (Cars above 1600cc or 97kW),1112,15889,1318,1103
August 2005 Second Open Bidding Exercise,2005-08-15,2005,Cat B (Cars above 1600cc or 97kW),1101,16303,1412,1093
September 2005 First Open Bidding Exercise,2005-09-01,2005,Cat B (Cars above 1600cc or 97kW),1109,16889,1484,1086
September 2005 Second Open Bidding Exercise,2005-09-15,2005,Cat B (Cars above 1600cc or 97kW),1108,14808,1270,1106
October 2005 First Open Bidding Exercise,2005-10-01,2005,Cat B (Cars above 1600cc or 97kW),1288,11002,1485,1288
October 2005 Second Open Bidding Exercise,2005-10-15,2005,Cat B (Cars above 1600cc or 97kW),1267,14101,2046,1250
November 2005 First Open Bidding Exercise,2005-11-01,2005,Cat B (Cars above 1600cc or 97kW),1265,14751,2086,1263
November 2005 Second Open Bidding Exercise,2005-11-15,2005,Cat B (Cars above 1600cc or 97kW),1282,14897,1692,1276
December 2005 First Open Bidding Exercise,2005-12-01,2005,Cat B (Cars above 1600cc or 97kW),1267,13301,1499,1255
December 2005 Second Open Bidding Exercise,2005-12-15,2005,Cat B (Cars above 1600cc or 97kW),1271,9001,1386,1261
January 2004 First Open Bidding Exercise,2004-01-01,2004,Cat B (Cars above 1600cc or 97kW),1158,24293,1516,1158
January 2004 Second Open Bidding Exercise,2004-01-15,2004,Cat B (Cars above 1600cc or 97kW),1160,22002,1468,1154
February 2004 First Open Bidding Exercise,2004-02-01,2004,Cat B (Cars above 1600cc or 97kW),1156,23508,1474,1149
February 2004 Second Open Bidding Exercise,2004-02-15,2004,Cat B (Cars above 1600cc or 97kW),1162,22001,1404,1158
March 2004 First Open Bidding Exercise,2004-03-01,2004,Cat B (Cars above 1600cc or 97kW),1163,25699,1516,1147
March 2004 Second Open Bidding Exercise,2004-03-15,2004,Cat B (Cars above 1600cc or 97kW),1160,25058,1445,1153
April 2004 First Open Bidding Exercise,2004-04-01,2004,Cat B (Cars above 1600cc or 97kW),949,28001,1350,948
April 2004 Second Open Bidding Exercise,2004-04-15,2004,Cat B (Cars above 1600cc or 97kW),939,28022,1347,939
May 2004 First Open Bidding Exercise,2004-05-01,2004,Cat B (Cars above 1600cc or 97kW),934,26700,1192,930
May 2004 Second Open Bidding Exercise,2004-05-15,2004,Cat B (Cars above 1600cc or 97kW),932,27990,1175,932
June 2004 First Open Bidding Exercise,2004-06-01,2004,Cat B (Cars above 1600cc or 97kW),937,30300,1374,930
June 2004 Second Open Bidding Exercise,2004-06-15,2004,Cat B (Cars above 1600cc or 97kW),932,30400,1217,932
July 2004 First Open Bidding Exercise,2004-07-01,2004,Cat B (Cars above 1600cc or 97kW),940,28990,1154,933
July 2004 Second Open Bidding Exercise,2004-07-15,2004,Cat B (Cars above 1600cc or 97kW),932,27001,1107,915
August 2004 First Open Bidding Exercise,2004-08-01,2004,Cat B (Cars above 1600cc or 97kW),940,27086,1095,938
August 2004 Second Open Bidding Exercise,2004-08-15,2004,Cat B (Cars above 1600cc or 97kW),949,26301,1065,947
September 2004 First Open Bidding Exercise,2004-09-01,2004,Cat B (Cars above 1600cc or 97kW),934,27799,1214,926
September 2004 Second Open Bidding Exercise,2004-09-15,2004,Cat B (Cars above 1600cc or 97kW),934,26101,1129,934
October 2004 First Open Bidding Exercise,2004-10-01,2004,Cat B (Cars above 1600cc or 97kW),1145,23001,1505,1145
October 2004 Second Open Bidding Exercise,2004-10-15,2004,Cat B (Cars above 1600cc or 97kW),1137,23005,1434,1137
November 2004 First Open Bidding Exercise,2004-11-01,2004,Cat B (Cars above 1600cc or 97kW),1137,21301,1323,1131
November 2004 Second Open Bidding Exercise,2004-11-15,2004,Cat B (Cars above 1600cc or 97kW),1137,20300,1326,1135
December 2004 First Open Bidding Exercise,2004-12-01,2004,Cat B (Cars above 1600cc or 97kW),1143,21302,1402,1141
December 2004 Second Open Bidding Exercise,2004-12-15,2004,Cat B (Cars above 1600cc or 97kW),1139,18708,1270,1128
January 2003 First Open Bidding Exercise,2003-01-01,2003,Cat B (Cars above 1600cc or 97kW),707,29099,1128,707
January 2003 Second Open Bidding Exercise,2003-01-15,2003,Cat B (Cars above 1600cc or 97kW),662,25028,919,661
February 2003 First Open Bidding Exercise,2003-02-01,2003,Cat B (Cars above 1600cc or 97kW),663,33657,1342,656
February 2003 Second Open Bidding Exercise,2003-02-15,2003,Cat B (Cars above 1600cc or 97kW),663,30699,1148,659
March 2003 First Open Bidding Exercise,2003-03-01,2003,Cat B (Cars above 1600cc or 97kW),670,27999,965,663
March 2003 Second Open Bidding Exercise,2003-03-15,2003,Cat B (Cars above 1600cc or 97kW),666,26001,944,640
April 2003 First Open Bidding Exercise,2003-04-01,2003,Cat B (Cars above 1600cc or 97kW),919,26601,1790,917
April 2003 Second Open Bidding Exercise,2003-04-15,2003,Cat B (Cars above 1600cc or 97kW),938,27058,1762,935
May 2003 First Open Bidding Exercise,2003-05-01,2003,Cat B (Cars above 1600cc or 97kW),914,28589,1788,913
May 2003 Second Open Bidding Exercise,2003-05-15,2003,Cat B (Cars above 1600cc or 97kW),915,31400,1592,913
June 2003 First Open Bidding Exercise,2003-06-01,2003,Cat B (Cars above 1600cc or 97kW),913,31501,1448,908
June 2003 Second Open Bidding Exercise,2003-06-15,2003,Cat B (Cars above 1600cc or 97kW),914,31505,1281,908
July 2003 First Open Bidding Exercise,2003-07-01,2003,Cat B (Cars above 1600cc or 97kW),917,32779,1359,917
July 2003 Second Open Bidding Exercise,2003-07-15,2003,Cat B (Cars above 1600cc or 97kW),918,31889,1209,885
August 2003 First Open Bidding Exercise,2003-08-01,2003,Cat B (Cars above 1600cc or 97kW),912,31001,1159,905
August 2003 Second Open Bidding Exercise,2003-08-15,2003,Cat B (Cars above 1600cc or 97kW),945,29900,1171,942
September 2003 First Open Bidding Exercise,2003-09-01,2003,Cat B (Cars above 1600cc or 97kW),919,28001,1163,901
September 2003 Second Open Bidding Exercise,2003-09-15,2003,Cat B (Cars above 1600cc or 97kW),915,30048,1344,908
October 2003 First Open Bidding Exercise,2003-10-01,2003,Cat B (Cars above 1600cc or 97kW),1175,28199,1565,1172
October 2003 Second Open Bidding Exercise,2003-10-15,2003,Cat B (Cars above 1600cc or 97kW),1163,27989,1374,1162
November 2003 First Open Bidding Exercise,2003-11-01,2003,Cat B (Cars above 1600cc or 97kW),1160,26001,1368,1136
November 2003 Second Open Bidding Exercise,2003-11-15,2003,Cat B (Cars above 1600cc or 97kW),1157,25481,1344,1157
December 2003 First Open Bidding Exercise,2003-12-01,2003,Cat B (Cars above 1600cc or 97kW),1181,24112,1401,1180
December 2003 Second Open Bidding Exercise,2003-12-15,2003,Cat B (Cars above 1600cc or 97kW),1156,22295,1295,1152
April 2002 First Open Bidding Exercise,2002-04-01,2002,Cat B (Cars above 1600cc or 97kW),558,39509,1119,551
April 2002 Second Open Bidding Exercise,2002-04-15,2002,Cat B (Cars above 1600cc or 97kW),553,42101,1104,553
May 2002 First Open Bidding Exercise,2002-05-01,2002,Cat B (Cars above 1600cc or 97kW),560,40001,1043,518
May 2002 Second Open Bidding Exercise,2002-05-15,2002,Cat B (Cars above 1600cc or 97kW),552,38001,894,541
June 2002 First Open Bidding Exercise,2002-06-01,2002,Cat B (Cars above 1600cc or 97kW),595,33001,885,569
June 2002 Second Open Bidding Exercise,2002-06-15,2002,Cat B (Cars above 1600cc or 97kW),563,32499,888,554
July 2002 First Open Bidding Exercise,2002-07-01,2002,Cat B (Cars above 1600cc or 97kW),579,31583,946,577
July 2002 Second Open Bidding Exercise,2002-07-15,2002,Cat B (Cars above 1600cc or 97kW),561,30008,850,553
August 2002 First Open Bidding Exercise,2002-08-01,2002,Cat B (Cars above 1600cc or 97kW),555,31889,1149,555
August 2002 Second Open Bidding Exercise,2002-08-15,2002,Cat B (Cars above 1600cc or 97kW),560,32001,873,543
September 2002 First Open Bidding Exercise,2002-09-01,2002,Cat B (Cars above 1600cc or 97kW),553,31617,715,553
September 2002 Second Open Bidding Exercise,2002-09-15,2002,Cat B (Cars above 1600cc or 97kW),569,28009,756,569
October 2002 First Open Bidding Exercise,2002-10-01,2002,Cat B (Cars above 1600cc or 97kW),553,31795,917,553
October 2002 Second Open Bidding Exercise,2002-10-15,2002,Cat B (Cars above 1600cc or 97kW),552,30811,850,551
November 2002 First Open Bidding Exercise,2002-11-01,2002,Cat B (Cars above 1600cc or 97kW),663,27667,866,663
November 2002 Second Open Bidding Exercise,2002-11-15,2002,Cat B (Cars above 1600cc or 97kW),663,28001,879,597
December 2002 First Open Bidding Exercise,2002-12-01,2002,Cat B (Cars above 1600cc or 97kW),663,27289,822,619
December 2002 Second Open Bidding Exercise,2002-12-15,2002,Cat B (Cars above 1600cc or 97kW),728,23890,977,728
