bidding_exercise,date,year,category,quota,price,total_bids,success_bids,population,registration,deregistration
October 2013 First Open Bidding Exercise,2013-10-09,2013,Cat A (Cars up to 1600cc and 97kW),365,85000,615,361,341869.0,650.0,798.0
September 2013 Second Open Bidding Exercise,2013-09-18,2013,Cat A (Cars up to 1600cc and 97kW),370,83751,654,361,342017.0,938.0,719.0
September 2013 First Open Bidding Exercise,2013-09-04,2013,Cat A (Cars up to 1600cc and 97kW),366,77304,609,365,342017.0,938.0,719.0
August 2013 Second Open Bidding Exercise,2013-08-21,2013,Cat A (Cars up to 1600cc and 97kW),366,76223,596,360,341798.0,675.0,643.0
August 2013 First Open Bidding Exercise,2013-08-07,2013,Cat A (Cars up to 1600cc and 97kW),373,75556,754,371,341798.0,675.0,643.0
July 2013 Second Open Bidding Exercise,2013-07-17,2013,Cat A (Cars up to 1600cc and 97kW),334,73989,621,332,341766.0,714.0,722.0
July 2013 First Open Bidding Exercise,2013-07-03,2013,Cat A (Cars up to 1600cc and 97kW),338,73100,716,328,341766.0,714.0,722.0
June 2013 Second Open Bidding Exercise,2013-06-19,2013,Cat A (Cars up to 1600cc and 97kW),342,69903,788,341,341774.0,867.0,713.0
June 2013 First Open Bidding Exercise,2013-06-05,2013,Cat A (Cars up to 1600cc and 97kW),341,67301,855,336,341774.0,867.0,713.0
May 2013 Second Open Bidding Exercise,2013-05-22,2013,Cat A (Cars up to 1600cc and 97kW),333,64839,888,324,341620.0,980.0,971.0
May 2013 First Open Bidding Exercise,2013-05-08,2013,Cat A (Cars up to 1600cc and 97kW),336,62999,912,329,341620.0,980.0,971.0
April 2013 Second Open Bidding Exercise,2013-04-24,2013,Cat A (Cars up to 1600cc and 97kW),333,62497,993,333,341611.0,764.0,1033.0
April 2013 First Open Bidding Exercise,2013-04-10,2013,Cat A (Cars up to 1600cc and 97kW),341,61029,966,339,341611.0,764.0,1033.0
March 2013 Second Open Bidding Exercise,2013-03-27,2013,Cat A (Cars up to 1600cc and 97kW),337,64209,923,337,341880.0,719.0,864.0
March 2013 First Open Bidding Exercise,2013-03-13,2013,Cat A (Cars up to 1600cc and 97kW),336,74689,1180,329,341880.0,719.0,864.0
February 2013 Second Open Bidding Exercise,2013-02-20,2013,Cat A (Cars up to 1600cc and 97kW),333,78301,427,329,342025.0,538.0,601.0
February 2013 First Open Bidding Exercise,2013-02-06,2013,Cat A (Cars up to 1600cc and 97kW),335,87109,418,333,342025.0,538.0,601.0
January 2013 Second Open Bidding Exercise,2013-01-23,2013,Cat A (Cars up to 1600cc and 97kW),409,91010,489,409,342088.0,966.0,702.0
January 2013 First Open Bidding Exercise,2013-01-09,2013,Cat A (Cars up to 1600cc and 97kW),410,92100,555,409,342088.0,966.0,702.0
December 2012 Second Open Bidding Exercise,2012-12-19,2012,Cat A (Cars up to 1600cc and 97kW),395,81889,499,378,341824.0,793.0,600.0
December 2012 First Open Bidding Exercise,2012-12-05,2012,Cat A (Cars up to 1600cc and 97kW),395,78523,482,378,341824.0,793.0,600.0
November 2012 Second Open Bidding Exercise,2012-11-21,2012,Cat A (Cars up to 1600cc and 97kW),396,77291,540,393,341631.0,1055.0,546.0
November 2012 First Open Bidding Exercise,2012-11-07,2012,Cat A (Cars up to 1600cc and 97kW),395,77201,621,393,341631.0,1055.0,546.0
October 2012 Second Open Bidding Exercise,2012-10-17,2012,Cat A (Cars up to 1600cc and 97kW),393,71001,509,390,341122.0,967.0,569.0
October 2012 First Open Bidding Exercise,2012-10-03,2012,Cat A (Cars up to 1600cc and 97kW),401,69000,506,399,341122.0,967.0,569.0
September 2012 Second Open Bidding Exercise,2012-09-19,2012,Cat A (Cars up to 1600cc and 97kW),402,63000,486,402,340724.0,975.0,479.0
September 2012 First Open Bidding Exercise,2012-09-05,2012,Cat A (Cars up to 1600cc and 97kW),399,68000,518,391,340724.0,975.0,479.0
August 2012 Second Open Bidding Exercise,2012-08-23,2012,Cat A (Cars up to 1600cc and 97kW),400,66889,530,391,340228.0,906.0,531.0
August 2012 First Open Bidding Exercise,2012-08-08,2012,Cat A (Cars up to 1600cc and 97kW),421,73501,724,415,340228.0,906.0,531.0
July 2012 Second Open Bidding Exercise,2012-07-18,2012,Cat A (Cars up to 1600cc and 97kW),676,68656,911,669,339853.0,941.0,571.0
July 2012 First Open Bidding Exercise,2012-07-04,2012,Cat A (Cars up to 1600cc and 97kW),641,59421,872,613,339853.0,941.0,571.0
June 2012 Second Open Bidding Exercise,2012-06-20,2012,Cat A (Cars up to 1600cc and 97kW),633,59004,920,577,339483.0,1174.0,513.0
June 2012 First Open Bidding Exercise,2012-06-06,2012,Cat A (Cars up to 1600cc and 97kW),668,59003,1004,647,339483.0,1174.0,513.0
May 2012 Second Open Bidding Exercise,2012-05-23,2012,Cat A (Cars up to 1600cc and 97kW),630,58001,945,617,338822.0,955.0,591.0
May 2012 First Open Bidding Exercise,2012-05-09,2012,Cat A (Cars up to 1600cc and 97kW),641,62600,822,593,338822.0,955.0,591.0
April 2012 Second Open Bidding Exercise,2012-04-18,2012,Cat A (Cars up to 1600cc and 97kW),629,64201,1011,618,338458.0,976.0,578.0
April 2012 First Open Bidding Exercise,2012-04-04,2012,Cat A (Cars up to 1600cc and 97kW),637,58501,960,615,338458.0,976.0,578.0
March 2012 Second Open Bidding Exercise,2012-03-21,2012,Cat A (Cars up to 1600cc and 97kW),636,56501,1067,626,338060.0,1114.0,604.0
March 2012 First Open Bidding Exercise,2012-03-07,2012,Cat A (Cars up to 1600cc and 97kW),667,56551,912,649,338060.0,1114.0,604.0
February 2012 Second Open Bidding Exercise,2012-02-22,2012,Cat A (Cars up to 1600cc and 97kW),624,57009,1017,607,337550.0,1154.0,542.0
February 2012 First Open Bidding Exercise,2012-02-08,2012,Cat A (Cars up to 1600cc and 97kW),619,52809,1058,571,337550.0,1154.0,542.0
January 2012 Second Open Bidding Exercise,2012-01-18,2012,Cat A (Cars up to 1600cc and 97kW),657,48112,903,652,336938.0,861.0,438.0
January 2012 First Open Bidding Exercise,2012-01-05,2012,Cat A (Cars up to 1600cc and 97kW),554,46889,901,554,336938.0,861.0,438.0
December 2011 Second Open Bidding Exercise,2011-12-21,2011,Cat A (Cars up to 1600cc and 97kW),566,50001,878,457,336515.0,818.0,423.0
December 2011 First Open Bidding Exercise,2011-12-07,2011,Cat A (Cars up to 1600cc and 97kW),549,52392,781,543,336515.0,818.0,423.0
November 2011 Second Open Bidding Exercise,2011-11-23,2011,Cat A (Cars up to 1600cc and 97kW),559,54887,756,541,336120.0,869.0,480.0
November 2011 First Open Bidding Exercise,2011-11-10,2011,Cat A (Cars up to 1600cc and 97kW),548,55997,766,547,336120.0,869.0,480.0
October 2011 Second Open Bidding Exercise,2011-10-19,2011,Cat A (Cars up to 1600cc and 97kW),565,56112,873,554,335731.0,756.0,445.0
October 2011 First Open Bidding Exercise,2011-10-05,2011,Cat A (Cars up to 1600cc and 97kW),549,50289,793,549,335731.0,756.0,445.0
September 2011 Second Open Bidding Exercise,2011-09-21,2011,Cat A (Cars up to 1600cc and 97kW),548,48006,951,531,335420.0,968.0,363.0
September 2011 First Open Bidding Exercise,2011-09-07,2011,Cat A (Cars up to 1600cc and 97kW),548,51000,794,547,335420.0,968.0,363.0
August 2011 Second Open Bidding Exercise,2011-08-17,2011,Cat A (Cars up to 1600cc and 97kW),557,49301,927,557,334815.0,925.0,3780.0
August 2011 First Open Bidding Exercise,2011-08-03,2011,Cat A (Cars up to 1600cc and 97kW),566,48801,1034,566,334815.0,925.0,3780.0
July 2011 Second Open Bidding Exercise,2011-07-20,2011,Cat A (Cars up to 1600cc and 97kW),510,56002,776,501,337670.0,989.0,1386.0
July 2011 First Open Bidding Exercise,2011-07-06,2011,Cat A (Cars up to 1600cc and 97kW),514,55989,839,497,337670.0,989.0,1386.0
June 2011 Second Open Bidding Exercise,2011-06-22,2011,Cat A (Cars up to 1600cc and 97kW),512,50244,715,512,338067.0,1055.0,1261.0
June 2011 First Open Bidding Exercise,2011-06-08,2011,Cat A (Cars up to 1600cc and 97kW),510,53390,880,506,338067.0,1055.0,1261.0
May 2011 Second Open Bidding Exercise,2011-05-19,2011,Cat A (Cars up to 1600cc and 97kW),523,46989,760,521,338273.0,775.0,1427.0
May 2011 First Open Bidding Exercise,2011-05-05,2011,Cat A (Cars up to 1600cc and 97kW),511,44790,944,511,338273.0,775.0,1427.0
April 2011 Second Open Bidding Exercise,2011-04-20,2011,Cat A (Cars up to 1600cc and 97kW),565,44000,964,552,338925.0,897.0,966.0
April 2011 First Open Bidding Exercise,2011-04-06,2011,Cat A (Cars up to 1600cc and 97kW),512,43212,813,511,338925.0,897.0,966.0
March 2011 Second Open Bidding Exercise,2011-03-23,2011,Cat A (Cars up to 1600cc and 97kW),527,43813,927,472,338994.0,1019.0,1047.0
March 2011 First Open Bidding Exercise,2011-03-09,2011,Cat A (Cars up to 1600cc and 97kW),532,42600,875,530,338994.0,1019.0,1047.0
February 2011 Second Open Bidding Exercise,2011-02-23,2011,Cat A (Cars up to 1600cc and 97kW),511,42999,788,494,339022.0,603.0,561.0
February 2011 First Open Bidding Exercise,2011-02-09,2011,Cat A (Cars up to 1600cc and 97kW),523,37124,1146,501,339022.0,603.0,561.0
January 2011 Second Open Bidding Exercise,2011-01-19,2011,Cat A (Cars up to 1600cc and 97kW),607,40123,1091,606,338980.0,1142.0,707.0
January 2011 First Open Bidding Exercise,2011-01-05,2011,Cat A (Cars up to 1600cc and 97kW),614,38889,1192,602,338980.0,1142.0,707.0
December 2010 Second Open Bidding Exercise,2010-12-22,2010,Cat A (Cars up to 1600cc and 97kW),617,46129,755,607,338545.0,864.0,828.0
December 2010 First Open Bidding Exercise,2010-12-08,2010,Cat A (Cars up to 1600cc and 97kW),598,47604,1020,582,338545.0,864.0,828.0
November 2010 Second Open Bidding Exercise,2010-11-18,2010,Cat A (Cars up to 1600cc and 97kW),597,39000,833,577,338509.0,1044.0,829.0
November 2010 First Open Bidding Exercise,2010-11-03,2010,Cat A (Cars up to 1600cc and 97kW),598,34001,843,598,338509.0,1044.0,829.0
October 2010 Second Open Bidding Exercise,2010-10-20,2010,Cat A (Cars up to 1600cc and 97kW),647,32415,817,647,338294.0,1023.0,873.0
October 2010 First Open Bidding Exercise,2010-10-06,2010,Cat A (Cars up to 1600cc and 97kW),601,33132,722,601,338294.0,1023.0,873.0
September 2010 Second Open Bidding Exercise,2010-09-22,2010,Cat A (Cars up to 1600cc and 97kW),597,30001,993,547,338144.0,1079.0,834.0
September 2010 First Open Bidding Exercise,2010-09-08,2010,Cat A (Cars up to 1600cc and 97kW),631,33089,775,628,338144.0,1079.0,834.0
August 2010 Second Open Bidding Exercise,2010-08-18,2010,Cat A (Cars up to 1600cc and 97kW),606,29000,975,606,337899.0,1207.0,916.0
August 2010 First Open Bidding Exercise,2010-08-04,2010,Cat A (Cars up to 1600cc and 97kW),622,32104,786,589,337899.0,1207.0,916.0
July 2010 Second Open Bidding Exercise,2010-07-21,2010,Cat A (Cars up to 1600cc and 97kW),699,36162,967,691,337608.0,1378.0,1068.0
July 2010 First Open Bidding Exercise,2010-07-07,2010,Cat A (Cars up to 1600cc and 97kW),700,29501,893,676,337608.0,1378.0,1068.0
June 2010 Second Open Bidding Exercise,2010-06-23,2010,Cat A (Cars up to 1600cc and 97kW),699,31510,902,697,337298.0,1439.0,1131.0
June 2010 First Open Bidding Exercise,2010-06-09,2010,Cat A (Cars up to 1600cc and 97kW),706,30051,1107,704,337298.0,1439.0,1131.0
May 2010 Second Open Bidding Exercise,2010-05-19,2010,Cat A (Cars up to 1600cc and 97kW),699,27389,1036,697,336990.0,1360.0,1006.0
May 2010 First Open Bidding Exercise,2010-05-05,2010,Cat A (Cars up to 1600cc and 97kW),806,26102,1294,798,336990.0,1360.0,1006.0
April 2010 Second Open Bidding Exercise,2010-04-21,2010,Cat A (Cars up to 1600cc and 97kW),706,30000,1242,704,336636.0,1499.0,908.0
April 2010 First Open Bidding Exercise,2010-04-07,2010,Cat A (Cars up to 1600cc and 97kW),705,34001,1379,597,336636.0,1499.0,908.0
March 2010 Second Open Bidding Exercise,2010-03-24,2010,Cat A (Cars up to 1600cc and 97kW),1146,28389,2183,1137,336045.0,2349.0,1595.0
March 2010 First Open Bidding Exercise,2010-03-10,2010,Cat A (Cars up to 1600cc and 97kW),1148,20802,1758,1141,336045.0,2349.0,1595.0
February 2010 Second Open Bidding Exercise,2010-02-24,2010,Cat A (Cars up to 1600cc and 97kW),1148,20340,1493,1148,335291.0,1873.0,1337.0
February 2010 First Open Bidding Exercise,2010-02-03,2010,Cat A (Cars up to 1600cc and 97kW),1154,19989,1326,1153,335291.0,1873.0,1337.0
January 2010 Second Open Bidding Exercise,2010-01-20,2010,Cat A (Cars up to 1600cc and 97kW),1151,20501,1673,1149,334755.0,3507.0,1743.0
January 2010 First Open Bidding Exercise,2010-01-06,2010,Cat A (Cars up to 1600cc and 97kW),1152,18502,1342,1145,334755.0,3507.0,1743.0
December 2009 Second Open Bidding Exercise,2009-12-23,2009,Cat A (Cars up to 1600cc and 97kW),1150,18150,1465,1145,332991.0,2153.0,1480.0
December 2009 First Open Bidding Exercise,2009-12-09,2009,Cat A (Cars up to 1600cc and 97kW),1151,18502,1658,1146,332991.0,2153.0,1480.0
November 2009 Second Open Bidding Exercise,2009-11-18,2009,Cat A (Cars up to 1600cc and 97kW),1146,17189,1261,1142,332318.0,2417.0,1348.0
November 2009 First Open Bidding Exercise,2009-11-04,2009,Cat A (Cars up to 1600cc and 97kW),1226,16747,1395,1222,332318.0,2417.0,1348.0
October 2009 Second Open Bidding Exercise,2009-10-21,2009,Cat A (Cars up to 1600cc and 97kW),1149,18899,1544,1149,331249.0,2755.0,1494.0
October 2009 First Open Bidding Exercise,2009-10-07,2009,Cat A (Cars up to 1600cc and 97kW),1151,16201,1392,1072,331249.0,2755.0,1494.0
September 2009 Second Open Bidding Exercise,2009-09-24,2009,Cat A (Cars up to 1600cc and 97kW),1403,15589,1527,1400,329988.0,2693.0,1492.0
September 2009 First Open Bidding Exercise,2009-09-09,2009,Cat A (Cars up to 1600cc and 97kW),1395,18020,1844,1391,329988.0,2693.0,1492.0
August 2009 Second Open Bidding Exercise,2009-08-19,2009,Cat A (Cars up to 1600cc and 97kW),1395,15019,1567,1387,328787.0,2801.0,1624.0
August 2009 First Open Bidding Exercise,2009-08-05,2009,Cat A (Cars up to 1600cc and 97kW),1395,13658,1558,1395,328787.0,2801.0,1624.0
July 2009 Second Open Bidding Exercise,2009-07-22,2009,Cat A (Cars up to 1600cc and 97kW),1408,15291,1603,1408,327610.0,2835.0,2012.0
July 2009 First Open Bidding Exercise,2009-07-08,2009,Cat A (Cars up to 1600cc and 97kW),1405,14310,1655,1405,327610.0,2835.0,2012.0
June 2009 Second Open Bidding Exercise,2009-06-17,2009,Cat A (Cars up to 1600cc and 97kW),1415,12899,1735,1402,326787.0,3568.0,2252.0
June 2009 First Open Bidding Exercise,2009-06-03,2009,Cat A (Cars up to 1600cc and 97kW),1401,11690,1967,1391,326787.0,3568.0,2252.0
May 2009 Second Open Bidding Exercise,2009-05-20,2009,Cat A (Cars up to 1600cc and 97kW),1402,9889,1999,1383,325471.0,3574.0,2268.0
May 2009 First Open Bidding Exercise,2009-05-06,2009,Cat A (Cars up to 1600cc and 97kW),1396,8489,2037,1391,325471.0,3574.0,2268.0
April 2009 Second Open Bidding Exercise,2009-04-22,2009,Cat A (Cars up to 1600cc and 97kW),1396,7589,1906,1390,324165.0,3194.0,2487.0
April 2009 First Open Bidding Exercise,2009-04-08,2009,Cat A (Cars up to 1600cc and 97kW),1396,7090,2026,1396,324165.0,3194.0,2487.0
March 2009 Second Open Bidding Exercise,2009-03-18,2009,Cat A (Cars up to 1600cc and 97kW),1843,5116,2202,1843,323458.0,4603.0,3241.0
March 2009 First Open Bidding Exercise,2009-03-04,2009,Cat A (Cars up to 1600cc and 97kW),1839,4890,2376,1839,323458.0,4603.0,3241.0
February 2009 Second Open Bidding Exercise,2009-02-18,2009,Cat A (Cars up to 1600cc and 97kW),1846,4460,2722,1842,322096.0,3977.0,2983.0
February 2009 First Open Bidding Exercise,2009-02-04,2009,Cat A (Cars up to 1600cc and 97kW),1894,1020,2077,1894,322096.0,3977.0,2983.0
January 2009 Second Open Bidding Exercise,2009-01-21,2009,Cat A (Cars up to 1600cc and 97kW),1839,2693,2109,1832,321102.0,3825.0,2779.0
January 2009 First Open Bidding Exercise,2009-01-07,2009,Cat A (Cars up to 1600cc and 97kW),1839,5001,2541,1784,321102.0,3825.0,2779.0
December 2008 Second Open Bidding Exercise,2008-12-17,2008,Cat A (Cars up to 1600cc and 97kW),1851,6200,2788,1851,320056.0,5001.0,3303.0
December 2008 First Open Bidding Exercise,2008-12-03,2008,Cat A (Cars up to 1600cc and 97kW),1840,7721,3149,1840,320056.0,5001.0,3303.0
November 2008 Second Open Bidding Exercise,2008-11-19,2008,Cat A (Cars up to 1600cc and 97kW),1851,2,1852,1840,318384.0,4150.0,3172.0
November 2008 First Open Bidding Exercise,2008-11-05,2008,Cat A (Cars up to 1600cc and 97kW),1848,10455,2049,1848,318384.0,4150.0,3172.0
October 2008 Second Open Bidding Exercise,2008-10-22,2008,Cat A (Cars up to 1600cc and 97kW),1846,10989,2149,1835,317406.0,3928.0,3085.0
October 2008 First Open Bidding Exercise,2008-10-08,2008,Cat A (Cars up to 1600cc and 97kW),1856,13801,2320,1848,317406.0,3928.0,3085.0
September 2008 Second Open Bidding Exercise,2008-09-17,2008,Cat A (Cars up to 1600cc and 97kW),2035,14100,2765,2029,316563.0,4706.0,3299.0
September 2008 First Open Bidding Exercise,2008-09-03,2008,Cat A (Cars up to 1600cc and 97kW),2038,9501,2172,2022,316563.0,4706.0,3299.0
August 2008 Second Open Bidding Exercise,2008-08-20,2008,Cat A (Cars up to 1600cc and 97kW),2036,13289,2318,2036,315156.0,3716.0,2825.0
August 2008 First Open Bidding Exercise,2008-08-06,2008,Cat A (Cars up to 1600cc and 97kW),2035,12501,2267,2032,315156.0,3716.0,2825.0
July 2008 Second Open Bidding Exercise,2008-07-23,2008,Cat A (Cars up to 1600cc and 97kW),2048,14101,2464,2047,314265.0,4608.0,3269.0
July 2008 First Open Bidding Exercise,2008-07-09,2008,Cat A (Cars up to 1600cc and 97kW),2036,14685,2463,2036,314265.0,4608.0,3269.0
June 2008 Second Open Bidding Exercise,2008-06-18,2008,Cat A (Cars up to 1600cc and 97kW),2037,14101,2319,2024,312926.0,4714.0,3230.0
June 2008 First Open Bidding Exercise,2008-06-04,2008,Cat A (Cars up to 1600cc and 97kW),2038,14590,2500,2038,312926.0,4714.0,3230.0
May 2008 Second Open Bidding Exercise,2008-05-22,2008,Cat A (Cars up to 1600cc and 97kW),2063,15701,2824,2062,311442.0,4608.0,3103.0
May 2008 First Open Bidding Exercise,2008-05-07,2008,Cat A (Cars up to 1600cc and 97kW),2053,11009,2211,2051,311442.0,4608.0,3103.0
April 2008 Second Open Bidding Exercise,2008-04-23,2008,Cat A (Cars up to 1600cc and 97kW),2036,15600,2197,2009,309937.0,4972.0,3498.0
April 2008 First Open Bidding Exercise,2008-04-09,2008,Cat A (Cars up to 1600cc and 97kW),2043,16930,2570,2026,309937.0,4972.0,3498.0
March 2008 Second Open Bidding Exercise,2008-03-19,2008,Cat A (Cars up to 1600cc and 97kW),2161,15389,2474,2161,308463.0,4127.0,3486.0
March 2008 First Open Bidding Exercise,2008-03-05,2008,Cat A (Cars up to 1600cc and 97kW),2171,14351,2727,2164,308463.0,4127.0,3486.0
February 2008 Second Open Bidding Exercise,2008-02-20,2008,Cat A (Cars up to 1600cc and 97kW),2291,12856,2923,2288,307821.0,3595.0,2549.0
February 2008 First Open Bidding Exercise,2008-02-05,2008,Cat A (Cars up to 1600cc and 97kW),2167,12002,3005,2155,307821.0,3595.0,2549.0
January 2008 Second Open Bidding Exercise,2008-01-23,2008,Cat A (Cars up to 1600cc and 97kW),2231,12001,2611,2098,306775.0,5210.0,3288.0
January 2008 First Open Bidding Exercise,2008-01-09,2008,Cat A (Cars up to 1600cc and 97kW),2162,14052,2553,2154,306775.0,5210.0,3288.0
January 2007 First Open Bidding Exercise,2007-01-01,2007,Cat A (Cars up to 1600cc and 97kW),2668,11704,3686,2663,286918.0,6686.0,4319.0
January 2007 Second Open Bidding Exercise,2007-01-15,2007,Cat A (Cars up to 1600cc and 97kW),2671,11881,3155,2670,286918.0,6686.0,4319.0
February 2007 First Open Bidding Exercise,2007-02-01,2007,Cat A (Cars up to 1600cc and 97kW),2673,11489,3005,2654,288505.0,5082.0,3495.0
February 2007 Second Open Bidding Exercise,2007-02-15,2007,Cat A (Cars up to 1600cc and 97kW),2670,5200,2823,2670,288505.0,5082.0,3495.0
March 2007 First Open Bidding Exercise,2007-03-01,2007,Cat A (Cars up to 1600cc and 97kW),2687,12602,5296,2680,290285.0,6015.0,4235.0
March 2007 Second Open Bidding Exercise,2007-03-15,2007,Cat A (Cars up to 1600cc and 97kW),2669,13504,4752,2659,290285.0,6015.0,4235.0
April 2007 First Open Bidding Exercise,2007-04-01,2007,Cat A (Cars up to 1600cc and 97kW),2165,14000,3691,2161,291972.0,5485.0,3798.0
April 2007 Second Open Bidding Exercise,2007-04-15,2007,Cat A (Cars up to 1600cc and 97kW),2168,14601,3327,2168,291972.0,5485.0,3798.0
May 2007 First Open Bidding Exercise,2007-05-01,2007,Cat A (Cars up to 1600cc and 97kW),2163,16159,3449,2163,293604.0,5237.0,3605.0
May 2007 Second Open Bidding Exercise,2007-05-15,2007,Cat A (Cars up to 1600cc and 97kW),2158,17010,2825,2147,293604.0,5237.0,3605.0
June 2007 First Open Bidding Exercise,2007-06-01,2007,Cat A (Cars up to 1600cc and 97kW),2159,16181,2441,2159,295817.0,5531.0,3318.0
June 2007 Second Open Bidding Exercise,2007-06-15,2007,Cat A (Cars up to 1600cc and 97kW),2169,15591,2489,2119,295817.0,5531.0,3318.0
July 2007 First Open Bidding Exercise,2007-07-01,2007,Cat A (Cars up to 1600cc and 97kW),2159,14801,2480,2150,297343.0,4636.0,3110.0
July 2007 Second Open Bidding Exercise,2007-07-15,2007,Cat A (Cars up to 1600cc and 97kW),2208,16000,2678,2177,297343.0,4636.0,3110.0
August 2007 First Open Bidding Exercise,2007-08-01,2007,Cat A (Cars up to 1600cc and 97kW),2168,17001,2632,2018,298733.0,4242.0,2852.0
August 2007 Second Open Bidding Exercise,2007-08-15,2007,Cat A (Cars up to 1600cc and 97kW),2189,8118,2315,2188,298733.0,4242.0,2852.0
September 2007 First Open Bidding Exercise,2007-09-01,2007,Cat A (Cars up to 1600cc and 97kW),2309,17999,3753,2303,300612.0,4629.0,2750.0
September 2007 Second Open Bidding Exercise,2007-09-15,2007,Cat A (Cars up to 1600cc and 97kW),2159,17941,3055,2159,300612.0,4629.0,2750.0
October 2007 First Open Bidding Exercise,2007-10-01,2007,Cat A (Cars up to 1600cc and 97kW),2165,16999,2604,2160,302146.0,4669.0,3135.0
October 2007 Second Open Bidding Exercise,2007-10-15,2007,Cat A (Cars up to 1600cc and 97kW),2158,12401,2472,2158,302146.0,4669.0,3135.0
November 2007 First Open Bidding Exercise,2007-11-01,2007,Cat A (Cars up to 1600cc and 97kW),2164,16839,3040,2149,303559.0,3886.0,2473.0
November 2007 Second Open Bidding Exercise,2007-11-15,2007,Cat A (Cars up to 1600cc and 97kW),2158,14404,2450,2154,303559.0,3886.0,2473.0
December 2007 First Open Bidding Exercise,2007-12-01,2007,Cat A (Cars up to 1600cc and 97kW),2174,12001,2373,2171,304853.0,4102.0,2805.0
December 2007 Second Open Bidding Exercise,2007-12-15,2007,Cat A (Cars up to 1600cc and 97kW),2162,14001,2588,2089,304853.0,4102.0,2805.0
January 2006 First Open Bidding Exercise,2006-01-01,2006,Cat A (Cars up to 1600cc and 97kW),2787,10602,3076,2778,269747.0,6630.0,4755.0
January 2006 Second Open Bidding Exercise,2006-01-15,2006,Cat A (Cars up to 1600cc and 97kW),2785,8009,3213,2783,269747.0,6630.0,4755.0
February 2006 First Open Bidding Exercise,2006-02-01,2006,Cat A (Cars up to 1600cc and 97kW),2794,10284,5517,2787,270276.0,4858.0,4329.0
February 2006 Second Open Bidding Exercise,2006-02-15,2006,Cat A (Cars up to 1600cc and 97kW),2787,10103,5030,2779,270276.0,4858.0,4329.0
March 2006 First Open Bidding Exercise,2006-03-01,2006,Cat A (Cars up to 1600cc and 97kW),2792,11199,5001,2786,272085.0,7783.0,5974.0
March 2006 Second Open Bidding Exercise,2006-03-15,2006,Cat A (Cars up to 1600cc and 97kW),2792,11904,4381,2784,272085.0,7783.0,5974.0
April 2006 First Open Bidding Exercise,2006-04-01,2006,Cat A (Cars up to 1600cc and 97kW),2222,11901,3183,2215,272933.0,5508.0,4660.0
April 2006 Second Open Bidding Exercise,2006-04-15,2006,Cat A (Cars up to 1600cc and 97kW),2225,11901,2762,2220,272933.0,5508.0,4660.0
May 2006 First Open Bidding Exercise,2006-05-01,2006,Cat A (Cars up to 1600cc and 97kW),2223,10003,2426,2222,274526.0,6203.0,4610.0
May 2006 Second Open Bidding Exercise,2006-05-15,2006,Cat A (Cars up to 1600cc and 97kW),2222,10100,2473,2222,274526.0,6203.0,4610.0
June 2006 First Open Bidding Exercise,2006-06-01,2006,Cat A (Cars up to 1600cc and 97kW),2217,11202,2688,2217,276010.0,5918.0,4434.0
June 2006 Second Open Bidding Exercise,2006-06-15,2006,Cat A (Cars up to 1600cc and 97kW),2217,9301,2393,2213,276010.0,5918.0,4434.0
July 2006 First Open Bidding Exercise,2006-07-01,2006,Cat A (Cars up to 1600cc and 97kW),2216,10201,2867,2210,277303.0,6166.0,4873.0
July 2006 Second Open Bidding Exercise,2006-07-15,2006,Cat A (Cars up to 1600cc and 97kW),2221,10803,2776,2213,277303.0,6166.0,4873.0
August 2006 First Open Bidding Exercise,2006-08-01,2006,Cat A (Cars up to 1600cc and 97kW),2222,11901,3333,2215,277776.0,5192.0,4719.0
August 2006 Second Open Bidding Exercise,2006-08-15,2006,Cat A (Cars up to 1600cc and 97kW),2225,12989,3398,2219,277776.0,5192.0,4719.0
September 2006 First Open Bidding Exercise,2006-09-01,2006,Cat A (Cars up to 1600cc and 97kW),2223,13003,2878,2222,279009.0,4804.0,3571.0
September 2006 Second Open Bidding Exercise,2006-09-15,2006,Cat A (Cars up to 1600cc and 97kW),2223,13102,2921,2223,279009.0,4804.0,3571.0
October 2006 First Open Bidding Exercise,2006-10-01,2006,Cat A (Cars up to 1600cc and 97kW),2670,12001,2953,2644,281020.0,5846.0,3835.0
October 2006 Second Open Bidding Exercise,2006-10-15,2006,Cat A (Cars up to 1600cc and 97kW),2669,10510,2761,2669,281020.0,5846.0,3835.0
November 2006 First Open Bidding Exercise,2006-11-01,2006,Cat A (Cars up to 1600cc and 97kW),2695,12979,4013,2693,282642.0,5945.0,4323.0
November 2006 Second Open Bidding Exercise,2006-11-15,2006,Cat A (Cars up to 1600cc and 97kW),2669,12689,3499,2668,282642.0,5945.0,4323.0
December 2006 First Open Bidding Exercise,2006-12-01,2006,Cat A (Cars up to 1600cc and 97kW),2670,12200,3018,2670,284551.0,5961.0,4027.0
December 2006 Second Open Bidding Exercise,2006-12-15,2006,Cat A (Cars up to 1600cc and 97kW),2670,9605,2886,2668,284551.0,5961.0,4027.0
January 2005 First Open Bidding Exercise,2005-01-01,2005,Cat A (Cars up to 1600cc and 97kW),2513,18400,2677,2512,260049.0,6702.0,5282.0
January 2005 Second Open Bidding Exercise,2005-01-15,2005,Cat A (Cars up to 1600cc and 97kW),2513,19501,3793,2508,260049.0,6702.0,5282.0
