bidding_exercise,date,year,category,quota,price,total_bids,success_bids,population,registration,deregistration
September 2019 Second Open Bidding Exercise,2019-09-18,2019,Cat A (Cars up to 1600cc and 97kW),1056,31759,1453,1053,320778.0,2567.0,2146.0
September 2019 First Open Bidding Exercise,2019-09-04,2019,Cat A (Cars up to 1600cc and 97kW),1056,31783,1656,1056,320778.0,2567.0,2146.0
August 2019 Second Open Bidding Exercise,2019-08-21,2019,Cat A (Cars up to 1600cc and 97kW),1062,31917,1725,1062,320357.0,2390.0,2176.0
August 2019 First Open Bidding Exercise,2019-08-07,2019,Cat A (Cars up to 1600cc and 97kW),1059,32725,2023,1059,320357.0,2390.0,2176.0
July 2019 Second Open Bidding Exercise,2019-07-17,2019,Cat A (Cars up to 1600cc and 97kW),1623,26667,1902,1617,320143.0,3658.0,2450.0
July 2019 First Open Bidding Exercise,2019-07-03,2019,Cat A (Cars up to 1600cc and 97kW),1431,28589,1795,1428,320143.0,3658.0,2450.0
June 2019 Second Open Bidding Exercise,2019-06-19,2019,Cat A (Cars up to 1600cc and 97kW),1424,26999,1742,1225,318935.0,3188.0,2001.0
June 2019 First Open Bidding Exercise,2019-06-06,2019,Cat A (Cars up to 1600cc and 97kW),1424,30009,1902,1417,318935.0,3188.0,2001.0
May 2019 Second Open Bidding Exercise,2019-05-23,2019,Cat A (Cars up to 1600cc and 97kW),1475,27000,1799,1475,317748.0,3567.0,2316.0
May 2019 First Open Bidding Exercise,2019-05-08,2019,Cat A (Cars up to 1600cc and 97kW),1431,36704,1988,1431,317748.0,3567.0,2316.0
April 2019 Second Open Bidding Exercise,2019-04-17,2019,Cat A (Cars up to 1600cc and 97kW),1653,33199,2249,1603,316497.0,3920.0,2724.0
April 2019 First Open Bidding Exercise,2019-04-03,2019,Cat A (Cars up to 1600cc and 97kW),1656,29159,2338,1650,316497.0,3920.0,2724.0
March 2019 Second Open Bidding Exercise,2019-03-20,2019,Cat A (Cars up to 1600cc and 97kW),1650,26659,2204,1647,315301.0,3573.0,3477.0
March 2019 First Open Bidding Exercise,2019-03-06,2019,Cat A (Cars up to 1600cc and 97kW),1659,26309,2213,1653,315301.0,3573.0,3477.0
February 2019 Second Open Bidding Exercise,2019-02-20,2019,Cat A (Cars up to 1600cc and 97kW),1650,26301,2261,1650,315205.0,2408.0,2570.0
February 2019 First Open Bidding Exercise,2019-02-08,2019,Cat A (Cars up to 1600cc and 97kW),1662,25689,2371,1653,315205.0,2408.0,2570.0
January 2019 Second Open Bidding Exercise,2019-01-23,2019,Cat A (Cars up to 1600cc and 97kW),1818,26170,2864,1818,315367.0,4111.0,3438.0
January 2019 First Open Bidding Exercise,2019-01-09,2019,Cat A (Cars up to 1600cc and 97kW),1815,25920,2707,1804,315367.0,4111.0,3438.0
December 2018 Second Open Bidding Exercise,2018-12-19,2018,Cat A (Cars up to 1600cc and 97kW),1890,25501,2729,1887,314694.0,2930.0,3465.0
December 2018 First Open Bidding Exercise,2018-12-05,2018,Cat A (Cars up to 1600cc and 97kW),1878,23568,2177,1878,314694.0,2930.0,3465.0
November 2018 Second Open Bidding Exercise,2018-11-21,2018,Cat A (Cars up to 1600cc and 97kW),1818,25000,2231,1744,315229.0,3238.0,3872.0
November 2018 First Open Bidding Exercise,2018-11-08,2018,Cat A (Cars up to 1600cc and 97kW),1819,28199,2849,1757,315229.0,3238.0,3872.0
October 2018 Second Open Bidding Exercise,2018-10-17,2018,Cat A (Cars up to 1600cc and 97kW),1674,25556,1811,1672,315863.0,3018.0,3656.0
October 2018 First Open Bidding Exercise,2018-10-03,2018,Cat A (Cars up to 1600cc and 97kW),1668,28457,2059,1665,315863.0,3018.0,3656.0
September 2018 Second Open Bidding Exercise,2018-09-19,2018,Cat A (Cars up to 1600cc and 97kW),1664,28000,2059,1655,316501.0,2887.0,3886.0
September 2018 First Open Bidding Exercise,2018-09-05,2018,Cat A (Cars up to 1600cc and 97kW),1664,30209,2488,1661,316501.0,2887.0,3886.0
August 2018 Second Open Bidding Exercise,2018-08-23,2018,Cat A (Cars up to 1600cc and 97kW),1695,31997,2948,1695,317500.0,2721.0,4001.0
August 2018 First Open Bidding Exercise,2018-08-08,2018,Cat A (Cars up to 1600cc and 97kW),1672,33798,3633,1672,317500.0,2721.0,4001.0
July 2018 Second Open Bidding Exercise,2018-07-18,2018,Cat A (Cars up to 1600cc and 97kW),1443,32699,3100,1412,318780.0,2059.0,4213.0
July 2018 First Open Bidding Exercise,2018-07-04,2018,Cat A (Cars up to 1600cc and 97kW),1435,25000,1626,1427,318780.0,2059.0,4213.0
June 2018 Second Open Bidding Exercise,2018-06-20,2018,Cat A (Cars up to 1600cc and 97kW),1446,34110,1818,1437,320934.0,5927.0,3823.0
June 2018 First Open Bidding Exercise,2018-06-06,2018,Cat A (Cars up to 1600cc and 97kW),1441,36426,1696,1440,320934.0,5927.0,3823.0
May 2018 Second Open Bidding Exercise,2018-05-23,2018,Cat A (Cars up to 1600cc and 97kW),1434,38001,1805,1422,318830.0,3889.0,3653.0
May 2018 First Open Bidding Exercise,2018-05-09,2018,Cat A (Cars up to 1600cc and 97kW),1435,38941,1836,1428,318830.0,3889.0,3653.0
April 2018 Second Open Bidding Exercise,2018-04-18,2018,Cat A (Cars up to 1600cc and 97kW),1566,38510,2027,1566,318594.0,3342.0,3604.0
April 2018 First Open Bidding Exercise,2018-04-04,2018,Cat A (Cars up to 1600cc and 97kW),1566,37000,1888,1564,318594.0,3342.0,3604.0
March 2018 Second Open Bidding Exercise,2018-03-21,2018,Cat A (Cars up to 1600cc and 97kW),1559,38000,2117,1551,318856.0,3674.0,3310.0
March 2018 First Open Bidding Exercise,2018-03-07,2018,Cat A (Cars up to 1600cc and 97kW),1580,38830,2405,1572,318856.0,3674.0,3310.0
