bidding_exercise,date,year,category,quota,price,total_bids,success_bids,population,registration,deregistration,cpi_car,cpi_transport,cpi_petrol,cpi_car_pct_change,cpi_transport_pct_change,cpi_petrol_pct_change
February 2021 Second Open Bidding Exercise,2021-02-17,2021,Cat B (Cars above 1600cc or 97kW),942,46002,1168,938,316690.0,2099.0,1198.0,107.833,103.381,100.129,-0.4,0.6,6.2
March 2021 First Open Bidding Exercise,2021-03-03,2021,Cat B (Cars above 1600cc or 97kW),942,45001,1121,926,317580.0,2694.0,1804.0,108.325,104.564,106.335,0.5,1.1,6.2
March 2021 Second Open Bidding Exercise,2021-03-17,2021,Cat B (Cars above 1600cc or 97kW),946,47001,1222,932,317580.0,2694.0,1804.0,108.325,104.564,106.335,0.5,1.1,6.2
April 2021 First Open Bidding Exercise,2021-04-07,2021,Cat B (Cars above 1600cc or 97kW),958,52309,1524,949,318281.0,2348.0,1647.0,113.415,106.77,106.498,4.7,2.1,0.2
April 2021 Second Open Bidding Exercise,2021-04-21,2021,Cat B (Cars above 1600cc or 97kW),956,61190,1585,949,318281.0,2348.0,1647.0,113.415,106.77,106.498,4.7,2.1,0.2
May 2021 First Open Bidding Exercise,2021-05-05,2021,Cat B (Cars above 1600cc or 97kW),819,60001,1244,813,318723.0,2240.0,1798.0,113.926,107.347,108.045,0.5,0.5,1.5
May 2021 Second Open Bidding Exercise,2021-05-19,2021,Cat B (Cars above 1600cc or 97kW),817,58089,1089,817,318723.0,2240.0,1798.0,113.926,107.347,108.045,0.5,0.5,1.5
June 2021 First Open Bidding Exercise,2021-06-09,2021,Cat B (Cars above 1600cc or 97kW),815,60109,1107,784,319527.0,2484.0,1680.0,114.639,107.426,109.203,0.6,0.1,1.1
June 2021 Second Open Bidding Exercise,2021-06-23,2021,Cat B (Cars above 1600cc or 97kW),809,56032,983,799,319527.0,2484.0,1680.0,114.639,107.426,109.203,0.6,0.1,1.1
July 2021 First Open Bidding Exercise,2021-07-07,2021,Cat B (Cars above 1600cc or 97kW),840,56100,1087,840,320004.0,1809.0,1332.0,113.626,107.386,112.256,-0.9,0.0,2.8
July 2021 Second Open Bidding Exercise,2021-07-22,2021,Cat B (Cars above 1600cc or 97kW),819,59501,1107,796,320004.0,1809.0,1332.0,113.626,107.386,112.256,-0.9,0.0,2.8
August 2021 First Open Bidding Exercise,2021-08-04,2021,Cat B (Cars above 1600cc or 97kW),771,56001,980,751,320909.0,2241.0,1336.0,113.737,107.214,112.399,0.1,-0.2,0.1
August 2021 Second Open Bidding Exercise,2021-08-18,2021,Cat B (Cars above 1600cc or 97kW),794,61001,1065,793,320909.0,2241.0,1336.0,113.737,107.214,112.399,0.1,-0.2,0.1
September 2021 First Open Bidding Exercise,2021-09-08,2021,Cat B (Cars above 1600cc or 97kW),791,62600,1080,788,322072.0,2403.0,1240.0,116.962,108.665,112.562,2.8,1.4,0.1
September 2021 Second Open Bidding Exercise,2021-09-22,2021,Cat B (Cars above 1600cc or 97kW),772,68310,1189,768,322072.0,2403.0,1240.0,116.962,108.665,112.562,2.8,1.4,0.1
